SMILES,reactants,products,label,is_duplicate,Source
CCCCCC1=CCCC1=O.COC(=O)CC(=O)OC>>CCCCCC1C(=O)CCC1C(C(=O)OC)C(=O)OC,CCCCCC1=CCCC1=O.COC(=O)CC(=O)OC,CCCCCC1C(=O)CCC1C(C(=O)OC)C(=O)OC,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)/C=C/c1cc(F)cc(OC)c1.CCOC(=O)CC(=O)OCC>>CCOC(=O)CC(c1cc(F)cc(OC)c1)C(C(=O)OCC)C(=O)OCC,CCOC(=O)/C=C/c1cc(F)cc(OC)c1.CCOC(=O)CC(=O)OCC,CCOC(=O)CC(c1cc(F)cc(OC)c1)C(C(=O)OCC)C(=O)OCC,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)/C=C/c1ccc2sc(C)nc2c1.CCOC(=O)CC(=O)OCC>>CCOC(=O)CC(c1ccc2sc(C)nc2c1)C(C(=O)OCC)C(=O)OCC,CCOC(=O)/C=C/c1ccc2sc(C)nc2c1.CCOC(=O)CC(=O)OCC,CCOC(=O)CC(c1ccc2sc(C)nc2c1)C(C(=O)OCC)C(=O)OCC,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)C=Cc1ccc2ccoc2c1.CCOC(=O)CC(=O)OCC>>CCOC(=O)CC(c1ccc2ccoc2c1)C(C(=O)OCC)C(=O)OCC,CCOC(=O)C=Cc1ccc2ccoc2c1.CCOC(=O)CC(=O)OCC,CCOC(=O)CC(c1ccc2ccoc2c1)C(C(=O)OCC)C(=O)OCC,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)CC(=O)OCC.COc1ncc(/C=C/C(=O)CCCCc2ccc3c(n2)NCCCC3)cn1>>CCOC(=O)C(C(=O)OCC)C(CC(=O)CCCCc1ccc2c(n1)NCCCC2)c1cnc(OC)nc1,CCOC(=O)CC(=O)OCC.COc1ncc(/C=C/C(=O)CCCCc2ccc3c(n2)NCCCC3)cn1,CCOC(=O)C(C(=O)OCC)C(CC(=O)CCCCc1ccc2c(n1)NCCCC2)c1cnc(OC)nc1,HasRing=True|NumRings=3|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)CC(=O)OCC.COc1ncc(C=CC(=O)CCCCc2ccc3c(n2)NCCCC3)cn1>>CCOC(=O)C(C(=O)OCC)[C@H](CC(=O)CCCCc1ccc2c(n1)NCCCC2)c1cnc(OC)nc1,CCOC(=O)CC(=O)OCC.COc1ncc(C=CC(=O)CCCCc2ccc3c(n2)NCCCC3)cn1,CCOC(=O)C(C(=O)OCC)[C@H](CC(=O)CCCCc1ccc2c(n1)NCCCC2)c1cnc(OC)nc1,HasRing=True|NumRings=3|IsSingleRing=False|IsRingClosing=False|HasFusedRings=True|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CCOC(=O)CC(=O)OCC.N#CC=Cc1ccccc1>>CCOC(=O)C(C(=O)OCC)C(CC#N)c1ccccc1,CCOC(=O)CC(=O)OCC.N#CC=Cc1ccccc1,CCOC(=O)C(C(=O)OCC)C(CC#N)c1ccccc1,HasRing=True|NumRings=1|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CC(C)(C)OC(=O)N1CCCCC1=O.COC(=O)/C(=C\c1ccc(F)cc1)C(=O)C(C)C>>COC(=O)C(C(=O)C(C)C)C(c1ccc(F)cc1)C1CCCN(C(=O)OC(C)(C)C)C1=O,CC(C)(C)OC(=O)N1CCCCC1=O.COC(=O)/C(=C\c1ccc(F)cc1)C(=O)C(C)C,COC(=O)C(C(=O)C(C)C)C(c1ccc(F)cc1)C1CCCN(C(=O)OC(C)(C)C)C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
CC(C)(C)OC(=O)N1CCCCC1=O.COC(=O)C(=Cc1ccc(F)cc1)C(=O)C(C)C>>COC(=O)C(C(=O)C(C)C)C(c1ccc(F)cc1)C1CCCN(C(=O)OC(C)(C)C)C1=O,CC(C)(C)OC(=O)N1CCCCC1=O.COC(=O)C(=Cc1ccc(F)cc1)C(=O)C(C)C,COC(=O)C(C(=O)C(C)C)C(c1ccc(F)cc1)C1CCCN(C(=O)OC(C)(C)C)C1=O,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
COC(=O)CS(=O)(=O)c1ccccc1.O=C1C=CCCC1>>COC(=O)C(C1CCCC(=O)C1)S(=O)(=O)c1ccccc1,COC(=O)CS(=O)(=O)c1ccccc1.O=C1C=CCCC1,COC(=O)C(C1CCCC(=O)C1)S(=O)(=O)c1ccccc1,HasRing=True|NumRings=2|IsSingleRing=False|IsRingClosing=False|HasFusedRings=False|HasSpiroRings=False|NumReactants=2|NumProducts=1|IsDuplicate=False,FALSE,pistachio
